x;y;result
72.0;43.0;-92.29610943738484
6.0;54.0;-31.969034128024294
17.0;95.0;-73.07441415315404
30.0;78.0;-87.09861877399013
65.0;17.0;-33.332084505801596
81.0;73.0;-135.91644912545488
12.0;70.0;-52.14713998123219
65.0;36.0;-77.68043695580832
4.0;60.0;-27.561700860799927
89.0;83.0;-153.11834563345585
5.0;4.0;22.63339973259809
7.0;81.0;-43.00926567629095
81.0;97.0;-159.65951918823706
46.0;47.0;-79.71577771500085
26.0;4.0;137.9212159716611
12.0;46.0;-41.280103347020656
45.0;68.0;-98.33528371011587
91.0;41.0;-98.90537296856998
13.0;55.0;-47.52499375312305
94.0;100.0;-174.56913848247981
94.0;96.0;-170.65436300315224
48.0;53.0;-87.60100889668358
58.0;8.0;30.301116640780222
49.0;35.0;-67.28830267412529
88.0;80.0;-149.1141921056458
42.0;15.0;-24.957427527495582
78.0;98.0;-157.64018444819723
44.0;39.0;-69.16505374665692
86.0;43.0;-99.86730637577739
11.0;34.0;-33.05107277218657
78.0;10.0;15.607740946690335
31.0;10.0;-5.367909612572635
17.0;9.0;-5.140872930812268
5.0;38.0;-23.930451059312396
86.0;22.0;-53.21777730339361
7.0;60.0;-36.60373692009847
68.0;28.0;-64.31332652783419
68.0;51.0;-100.67259187293362
9.0;15.0;-16.237065119284157
36.0;10.0;-3.6393358414548374
86.0;49.0;-109.22806970593447
70.0;69.0;-122.65559298341061
11.0;23.0;-25.45735203273302
77.0;14.0;-18.424750711744856
27.0;32.0;-48.40470144291836
21.0;5.0;44.82971048731919
64.0;63.0;-111.39393923933997
69.0;27.0;-62.49961300216863
34.0;33.0;-54.865780135573196
36.0;62.0;-83.72450222678488
5.0;68.0;-33.03483815978222
19.0;72.0;-66.54320165498129
67.0;39.0;-83.46544091232586
6.0;65.0;-35.365261242532014
74.0;14.0;-18.852640505662023
90.0;50.0;-113.00964227798366
4.0;5.0;4.6333997325980905
58.0;21.0;-44.95832003828837
94.0;73.0;-145.91704854258668
15.0;72.0;-59.17735676967064
3.0;41.0;-19.274809710720113
90.0;42.0;-100.17558322993105
41.0;25.0;-47.71392457173652
94.0;84.0;-158.27782625556787
36.0;92.0;-104.23918437742333
1.0;57.0;-13.013335780714424
83.0;34.0;-82.31858102536317
25.0;30.0;-44.67919827424244
53.0;93.0;-126.81163231057707
74.0;78.0;-135.21373983681707
100.0;14.0;-14.454545454545453
18.0;62.0;-59.66749149342271
30.0;62.0;-76.63372355815012
74.0;41.0;-90.36432172912198
89.0;55.0;-119.62194540395518
13.0;56.0;-48.006019743288306
43.0;19.0;-36.349292889200505
96.0;14.0;-15.222076434292632
94.0;18.0;-38.354532030283956
23.0;72.0;-73.13146524269712
